exp1,exp2,metric,t_stat,p_value,significant,effect_size
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_faithfulness,10.057323181687867,1.1239986548126962e-15,True,1.610460593304783
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_faithfulness,10.057323181687867,1.1239986548126962e-15,True,1.610460593304783
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,deepeval_faithfulness,-9.40282808106185,2.0118215474635916e-14,True,1.505657501167064
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,deepeval_faithfulness,-9.40282808106185,2.0118215474635916e-14,True,1.505657501167064
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_faithfulness,9.172006232094557,5.5918169606128356e-14,True,1.4686964246340548
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_faithfulness,9.172006232094557,5.5918169606128356e-14,True,1.4686964246340548
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,deepeval_faithfulness,9.097931041830984,7.766010533006731e-14,True,1.4568349011743884
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,deepeval_faithfulness,-9.097931041830984,7.766010533006731e-14,True,1.4568349011743884
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,deepeval_faithfulness,8.945314801259578,1.215282114892694e-13,True,1.432396744331016
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_faithfulness,8.871476704937841,2.1215850734835737e-13,True,1.4205731862865343
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_faithfulness,8.871476704937841,2.1215850734835737e-13,True,1.4205731862865343
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_faithfulness,8.71276165340775,4.293453789361954e-13,True,1.3951584381039415
